ticket_id,user_id,ticket_date,issue_type,resolution_time_hours
150,4827,2024-01-03,Payment Failed,27.77
151,2244,2024-04-02,App Crash,69.25
152,3406,2024-09-16,Refund Issue,48.0
153,678,2024-12-09,Wrong Item,15.02
154,4881,2024-10-08,Refund Issue,33.97
155,1637,2024-02-06,App Crash,45.17
156,4358,2024-07-01,App Crash,56.39
157,1232,2024-11-30,Late Delivery,32.81
158,188,2024-04-02,Payment Failed,52.98
159,327,2024-01-25,Refund Issue,2.87
160,1962,2024-09-17,Refund Issue,42.68
161,4140,2024-10-27,App Crash,51.23
162,1501,2024-12-14,App Crash,60.83
163,267,2024-06-30,Refund Issue,64.24
164,4356,2024-03-12,Wrong Item,30.87
165,3864,2024-02-26,Late Delivery,14.33
166,204,2024-08-13,Payment Failed,68.04
167,4433,2024-07-19,Late Delivery,39.09
168,3346,2024-10-07,Payment Failed,26.02
169,2463,2024-01-02,Payment Failed,47.46
170,4912,2024-03-02,App Crash,49.54
171,4468,2024-03-21,Payment Failed,9.02
172,4076,2024-08-01,App Crash,1.77
173,2020,2024-11-06,Wrong Item,38.42
174,998,2024-08-08,Late Delivery,1.79
175,2360,2024-03-26,App Crash,47.42
176,3506,2024-06-20,App Crash,44.38
177,559,2024-01-24,App Crash,44.58
178,2983,2024-06-16,Payment Failed,21.1
179,2149,2025-01-23,Wrong Item,65.73
180,3132,2024-01-30,Wrong Item,21.37
181,1809,2024-09-01,Refund Issue,5.91
182,3652,2025-01-12,App Crash,71.39
183,2489,2024-04-26,Late Delivery,61.33
184,2138,2024-12-30,Wrong Item,23.66
185,1338,2024-03-10,Payment Failed,51.95
186,4862,2024-05-22,Wrong Item,7.6
187,3191,2025-01-18,Wrong Item,26.17
188,2035,2024-11-03,Payment Failed,56.36
189,3149,2024-02-02,Refund Issue,44.37
190,4958,2024-04-28,Wrong Item,70.58
191,4869,2024-11-03,Payment Failed,18.58
192,1194,2024-05-31,Refund Issue,21.97
193,2613,2024-05-02,Payment Failed,60.14
194,1156,2024-01-28,App Crash,66.43
195,3699,2024-05-06,Late Delivery,27.49
196,4493,2024-12-18,App Crash,6.17
197,86,2025-01-19,Refund Issue,8.82
198,4225,2024-03-27,Wrong Item,35.1
199,4743,2024-07-06,Late Delivery,65.01
200,1597,2024-01-24,Wrong Item,71.59
201,1456,2025-01-14,Refund Issue,17.55
202,33,2025-01-21,Wrong Item,54.48
203,1758,2024-03-27,Late Delivery,3.2
204,4214,2024-09-06,App Crash,22.59
205,3422,2024-05-08,Payment Failed,44.35
206,2489,2024-11-03,Wrong Item,47.88
207,3375,2024-07-22,Payment Failed,7.8
208,248,2024-03-18,Refund Issue,17.3
209,3573,2024-05-02,Refund Issue,48.74
210,632,2024-10-14,Late Delivery,70.95
211,3854,2024-04-27,Wrong Item,21.17
212,3026,2024-09-15,Payment Failed,6.92
213,3948,2024-05-24,Payment Failed,24.63
214,2613,2024-05-31,Payment Failed,60.96
215,2745,2024-01-25,Refund Issue,14.19
216,3499,2025-01-23,Wrong Item,45.34
217,3600,2024-12-13,App Crash,67.52
218,3950,2024-04-28,Refund Issue,8.23
219,4070,2024-09-03,Wrong Item,61.6
220,3373,2024-11-24,Late Delivery,13.05
221,1016,2024-07-20,Payment Failed,47.23
222,1811,2024-06-30,Wrong Item,21.08
223,1459,2024-05-11,Payment Failed,12.7
224,2525,2024-04-17,Payment Failed,15.61
225,2117,2024-11-01,Wrong Item,14.49
226,1640,2024-10-26,App Crash,23.12
227,164,2024-10-30,Late Delivery,45.4
228,4624,2024-05-16,Late Delivery,39.66
229,4822,2024-03-20,Late Delivery,2.85
230,2057,2025-01-09,Payment Failed,16.94
231,2075,2024-10-14,App Crash,7.08
232,2243,2025-01-22,Wrong Item,8.96
233,3835,2024-07-01,App Crash,54.06
234,2365,2025-01-12,App Crash,53.95
235,1154,2024-09-25,Late Delivery,43.15
236,2191,2024-01-10,Refund Issue,9.28
237,4480,2024-04-07,Refund Issue,15.26
238,1159,2024-04-25,App Crash,41.41
239,1292,2024-01-14,Payment Failed,39.87
240,3942,2024-09-24,Wrong Item,14.32
241,3139,2024-07-29,Payment Failed,1.86
242,4712,2024-11-23,Wrong Item,6.98
243,3108,2024-05-10,Payment Failed,71.88
244,3289,2024-02-19,Refund Issue,58.08
245,676,2024-05-27,Late Delivery,29.01
246,3005,2024-10-11,Payment Failed,7.02
247,1098,2024-07-29,App Crash,18.22
248,2708,2024-12-01,Wrong Item,65.52
249,3890,2024-05-05,Wrong Item,6.15
250,1134,2024-03-06,Refund Issue,71.67
251,4119,2024-10-29,Late Delivery,6.22
252,3493,2024-11-28,Refund Issue,33.93
253,401,2024-01-24,Wrong Item,68.6
254,3459,2024-09-20,App Crash,55.66
255,110,2024-06-12,Refund Issue,35.94
256,4227,2024-01-11,Refund Issue,62.12
257,538,2024-06-19,Wrong Item,42.99
258,132,2024-01-30,Payment Failed,15.77
259,878,2025-01-21,Refund Issue,18.15
260,3092,2024-05-19,Late Delivery,62.83
261,3724,2024-12-09,Refund Issue,50.03
262,1536,2024-09-18,Wrong Item,17.45
263,3100,2024-09-10,Late Delivery,17.98
264,1631,2024-12-04,Late Delivery,46.99
265,4755,2024-02-24,Refund Issue,14.26
266,3697,2024-06-20,Payment Failed,29.29
267,4228,2024-10-26,Late Delivery,41.69
268,503,2024-01-15,Wrong Item,1.35
269,4589,2024-06-10,Wrong Item,67.82
270,2900,2024-03-01,Wrong Item,26.16
271,50,2024-10-12,App Crash,30.54
272,1015,2024-03-05,Late Delivery,19.9
273,281,2024-04-18,App Crash,67.44
274,1093,2024-08-26,App Crash,15.95
275,3491,2024-09-06,Late Delivery,24.35
276,4331,2024-03-28,Payment Failed,16.3
277,1194,2024-02-23,Payment Failed,57.24
278,4444,2024-01-31,Wrong Item,39.83
279,4954,2024-11-10,App Crash,5.74
280,2466,2024-01-27,Wrong Item,50.56
281,1615,2024-09-04,App Crash,69.35
282,2736,2024-05-09,App Crash,52.84
283,3445,2024-05-27,Payment Failed,41.96
284,3250,2024-05-11,Wrong Item,48.92
285,2140,2024-08-28,App Crash,39.91
286,3140,2024-10-20,Wrong Item,27.67
287,628,2024-12-19,Refund Issue,25.85
288,3942,2024-04-28,Late Delivery,31.23
289,602,2024-10-17,Wrong Item,66.02
290,371,2024-02-24,Refund Issue,17.73
291,4879,2024-12-20,Payment Failed,24.09
292,1623,2024-02-06,Payment Failed,70.03
293,3966,2024-08-29,Refund Issue,6.86
294,792,2024-03-04,Refund Issue,36.48
295,536,2024-09-05,Late Delivery,46.56
296,1928,2024-05-08,Wrong Item,49.79
297,1701,2024-12-31,Payment Failed,37.44
298,2689,2024-01-06,Refund Issue,70.08
299,4185,2024-01-16,App Crash,59.88
300,636,2024-04-12,Wrong Item,42.6
301,33,2024-12-29,App Crash,46.15
302,247,2024-05-11,Payment Failed,42.61
303,1417,2024-07-01,Late Delivery,59.54
304,2437,2024-07-20,App Crash,15.23
305,3126,2024-09-27,Late Delivery,70.78
306,4726,2024-12-13,Wrong Item,61.24
307,2565,2024-09-15,Wrong Item,61.31
308,665,2024-12-18,App Crash,18.4
309,2212,2024-05-21,Refund Issue,63.28
310,653,2024-09-28,Refund Issue,26.59
311,3642,2024-07-21,Wrong Item,2.61
312,3687,2024-06-17,App Crash,43.44
313,2157,2024-12-11,Wrong Item,8.29
314,4083,2024-09-06,Payment Failed,4.71
315,2201,2025-01-21,Wrong Item,16.15
316,716,2024-04-16,Refund Issue,5.01
317,217,2024-09-02,Payment Failed,55.54
318,2676,2024-05-30,Payment Failed,60.74
319,3137,2024-05-22,Refund Issue,39.69
320,3622,2024-11-02,Late Delivery,47.98
321,510,2024-07-12,App Crash,28.87
322,26,2024-07-26,Refund Issue,1.03
323,3017,2024-07-12,Late Delivery,25.57
324,2526,2024-01-03,App Crash,57.94
325,2949,2024-08-14,Wrong Item,35.19
326,4067,2024-03-10,Wrong Item,69.52
327,2476,2024-04-22,Wrong Item,29.8
328,1742,2024-07-20,Refund Issue,2.95
329,2043,2024-07-12,Refund Issue,38.98
330,2698,2025-01-08,Payment Failed,60.61
331,4480,2024-01-30,App Crash,20.15
332,436,2025-01-27,Refund Issue,16.73
333,2209,2024-05-29,App Crash,32.2
334,1428,2024-08-28,Payment Failed,12.34
335,2748,2024-05-14,Late Delivery,54.94
336,126,2024-02-23,Refund Issue,32.49
337,3123,2024-03-16,Late Delivery,53.28
338,3764,2024-01-04,App Crash,26.1
339,4283,2024-10-12,Late Delivery,52.1
340,4390,2024-02-24,App Crash,3.88
341,2160,2024-10-05,Late Delivery,28.52
342,4004,2024-01-01,Payment Failed,14.0
343,841,2024-04-08,Late Delivery,13.84
344,1299,2024-08-11,Payment Failed,66.95
345,2202,2024-09-21,App Crash,44.42
346,1385,2024-10-31,App Crash,33.9
347,3893,2024-04-17,Refund Issue,1.46
348,4164,2024-09-13,Payment Failed,1.79
349,1370,2024-11-23,App Crash,50.39
350,1280,2024-03-19,Wrong Item,35.83
351,412,2024-07-01,Payment Failed,59.88
352,106,2024-03-08,Payment Failed,7.69
353,1732,2024-09-30,Late Delivery,39.28
354,368,2024-12-13,Refund Issue,25.42
355,4331,2024-10-26,Payment Failed,2.58
356,195,2024-11-16,Wrong Item,56.87
357,2469,2024-05-24,Refund Issue,15.04
358,3371,2024-01-03,Wrong Item,59.34
359,2564,2024-06-05,Late Delivery,35.08
360,57,2024-04-20,Payment Failed,64.74
361,133,2024-10-24,App Crash,13.91
362,3619,2024-05-06,Refund Issue,69.29
363,1570,2025-01-31,Payment Failed,55.09
364,4228,2024-07-05,App Crash,12.47
365,2309,2024-02-29,App Crash,20.03
366,711,2024-07-24,Refund Issue,15.4
367,3432,2024-01-10,Wrong Item,28.14
368,1230,2024-03-11,App Crash,37.74
369,2956,2024-07-21,Payment Failed,7.37
370,2716,2024-11-07,Refund Issue,59.46
371,4323,2025-01-31,Refund Issue,47.3
372,4605,2024-12-28,Payment Failed,43.75
373,4659,2024-06-17,Refund Issue,54.76
374,1527,2024-09-04,Refund Issue,35.22
375,2713,2024-08-13,Late Delivery,69.29
376,2723,2024-07-10,App Crash,22.95
377,3073,2024-03-08,Refund Issue,28.46
378,4240,2024-12-19,Wrong Item,64.49
379,3219,2024-08-08,Wrong Item,52.48
380,1854,2024-08-02,Late Delivery,44.9
381,621,2024-10-14,App Crash,46.15
382,4826,2024-05-28,Refund Issue,54.05
383,4334,2024-10-13,Refund Issue,60.13
384,2992,2024-01-27,Late Delivery,23.69
385,4281,2024-04-21,Payment Failed,29.74
386,2688,2024-12-07,App Crash,61.67
387,2338,2025-01-14,App Crash,44.11
388,3111,2024-02-20,Refund Issue,71.12
389,2642,2024-08-06,Payment Failed,50.04
390,710,2024-04-10,Wrong Item,70.89
391,3839,2024-07-23,Wrong Item,48.27
392,2668,2024-08-28,Wrong Item,9.96
393,4168,2024-09-24,Wrong Item,47.13
394,1110,2024-02-05,Payment Failed,58.86
395,3076,2024-08-23,Payment Failed,21.3
396,494,2024-06-10,Payment Failed,60.73
397,3180,2024-03-17,Late Delivery,36.49
398,4637,2024-05-13,App Crash,24.28
399,2622,2024-11-27,Refund Issue,3.32
400,4547,2024-10-10,Late Delivery,26.69
401,1551,2024-02-04,Wrong Item,32.41
402,2620,2024-05-07,Refund Issue,17.18
403,3898,2024-06-22,Wrong Item,48.9
404,1654,2024-05-04,Payment Failed,7.51
405,1831,2024-09-06,Payment Failed,50.32
406,3402,2024-07-16,Refund Issue,24.21
407,2348,2024-05-17,Payment Failed,1.28
408,2067,2024-03-21,App Crash,19.27
409,4068,2024-11-08,App Crash,11.35
410,1846,2024-09-20,Payment Failed,24.56
411,2509,2024-04-27,App Crash,48.98
412,4208,2025-01-22,Refund Issue,14.69
413,3045,2024-11-09,Late Delivery,15.39
414,2250,2024-04-22,Wrong Item,29.79
415,2046,2024-01-06,App Crash,61.49
416,2954,2024-04-17,Payment Failed,26.85
417,4143,2024-11-15,Late Delivery,26.06
418,3275,2025-01-25,App Crash,69.44
419,3466,2024-07-02,Late Delivery,46.41
420,2722,2024-05-03,Refund Issue,55.84
421,2198,2024-11-02,Late Delivery,43.81
422,776,2024-07-06,Late Delivery,25.81
423,1614,2024-03-10,Refund Issue,16.69
424,1070,2025-01-14,Late Delivery,39.38
425,2717,2024-12-23,Refund Issue,60.04
426,2922,2024-07-22,App Crash,28.03
427,1220,2024-01-22,Payment Failed,31.85
428,2965,2024-09-24,Late Delivery,49.31
429,1977,2024-11-30,Late Delivery,36.07
430,4738,2024-10-02,Wrong Item,10.69
431,1168,2024-06-26,Late Delivery,61.7
432,434,2024-04-06,Payment Failed,22.15
433,4073,2024-04-02,App Crash,24.89
434,2699,2024-11-03,Wrong Item,55.62
435,3776,2024-10-13,App Crash,57.47
436,94,2024-08-27,App Crash,43.1
437,1954,2024-05-01,Late Delivery,58.07
438,673,2024-05-28,Refund Issue,59.59
439,3830,2024-12-26,Late Delivery,41.36
440,3150,2024-01-16,Wrong Item,17.89
441,4776,2024-02-17,Late Delivery,1.05
442,892,2024-02-13,App Crash,12.31
443,4758,2024-05-10,Refund Issue,3.36
444,928,2024-11-13,App Crash,23.51
445,1044,2024-11-04,Wrong Item,27.35
446,1109,2024-09-07,Payment Failed,60.4
447,400,2025-01-03,Wrong Item,14.2
448,3698,2024-06-04,Late Delivery,14.42
449,3252,2024-08-21,Wrong Item,22.82
450,269,2024-06-17,Wrong Item,61.53
451,714,2024-05-19,App Crash,24.32
452,906,2025-01-07,Wrong Item,38.23
453,713,2024-09-07,Payment Failed,41.05
454,193,2024-04-13,Wrong Item,39.72
455,4022,2024-12-10,Wrong Item,46.31
456,3376,2024-11-30,Refund Issue,35.74
457,2767,2024-08-18,App Crash,65.84
458,3983,2024-08-25,Payment Failed,52.16
459,4324,2024-01-19,Wrong Item,12.1
460,3307,2024-05-21,Late Delivery,65.36
461,1234,2025-01-24,Late Delivery,71.6
462,857,2024-10-28,Wrong Item,7.65
463,2837,2024-11-11,App Crash,63.82
464,3832,2024-01-21,App Crash,62.0
465,2148,2024-10-21,Refund Issue,59.4
466,2326,2024-08-01,Payment Failed,22.3
467,3983,2024-08-22,Refund Issue,59.0
468,4240,2024-09-30,App Crash,56.84
469,4529,2024-02-04,Refund Issue,23.01
470,2309,2024-11-04,Late Delivery,15.85
471,448,2024-06-07,Refund Issue,34.38
472,2453,2024-07-05,Late Delivery,33.03
473,4487,2024-07-18,Payment Failed,53.59
474,4905,2024-06-21,Wrong Item,2.73
475,3941,2024-10-21,Payment Failed,20.21
476,371,2024-09-02,Wrong Item,1.92
477,2311,2024-08-18,App Crash,58.82
478,3208,2024-04-29,Wrong Item,59.52
479,4766,2024-11-08,Refund Issue,55.6
480,3415,2024-07-16,Refund Issue,1.08
481,2030,2024-02-18,App Crash,54.76
482,2791,2024-01-17,Wrong Item,8.34
483,638,2024-12-05,App Crash,56.78
484,4936,2024-04-12,Refund Issue,55.94
485,2149,2025-01-30,Payment Failed,10.21
486,4386,2024-12-17,App Crash,41.07
487,4849,2024-05-08,App Crash,52.85
488,4638,2024-01-11,Late Delivery,42.75
489,3726,2024-06-24,Payment Failed,3.34
490,3480,2024-08-28,Refund Issue,15.48
491,4932,2024-04-15,Payment Failed,37.3
492,4363,2024-07-24,Wrong Item,49.11
493,2655,2024-10-04,App Crash,22.19
494,3447,2025-01-08,Wrong Item,30.11
495,2241,2024-10-24,Late Delivery,61.54
496,1143,2024-02-19,Refund Issue,48.88
497,4562,2024-01-27,App Crash,3.34
498,2612,2024-09-22,Wrong Item,48.91
499,505,2025-01-16,Payment Failed,26.93
500,371,2024-01-11,Late Delivery,33.79
501,1295,2024-05-30,Late Delivery,52.06
502,3957,2024-02-26,Wrong Item,4.44
503,633,2024-12-27,App Crash,34.23
504,2570,2024-12-11,App Crash,4.78
505,2070,2024-09-11,Refund Issue,2.05
506,4933,2024-06-09,Refund Issue,49.26
507,3366,2024-08-07,App Crash,66.45
508,2210,2024-11-15,Late Delivery,8.42
509,1338,2024-11-23,Wrong Item,39.91
510,1935,2024-05-22,App Crash,70.15
511,4064,2024-04-19,Late Delivery,12.5
512,961,2024-01-17,Payment Failed,16.98
513,1707,2024-08-30,Refund Issue,16.65
514,4012,2024-12-31,Payment Failed,15.49
515,202,2024-03-23,Refund Issue,67.08
516,718,2024-02-23,Payment Failed,26.34
517,3916,2024-12-16,Payment Failed,1.89
518,4055,2024-09-14,Payment Failed,20.7
519,2761,2024-12-04,Wrong Item,68.35
520,2039,2024-09-16,Wrong Item,69.93
521,1034,2024-08-21,App Crash,54.16
522,4392,2024-12-04,App Crash,38.78
523,663,2024-08-20,Payment Failed,66.66
524,3885,2024-02-04,Late Delivery,27.85
525,564,2024-12-12,Late Delivery,21.2
526,528,2025-01-03,Payment Failed,11.18
527,3669,2024-08-05,App Crash,18.71
528,4333,2024-10-22,Late Delivery,58.24
529,2443,2024-10-28,Payment Failed,30.66
530,1681,2024-02-21,App Crash,34.62
531,63,2024-07-17,Wrong Item,11.04
532,2306,2024-06-12,Late Delivery,62.83
533,1245,2024-09-16,App Crash,18.67
534,4927,2024-08-24,Wrong Item,46.5
535,3156,2024-04-02,Refund Issue,55.79
536,2697,2024-04-28,Payment Failed,69.05
537,2021,2024-07-29,App Crash,52.8
538,3610,2024-05-06,Payment Failed,64.36
539,3387,2024-06-06,Refund Issue,46.25
540,329,2025-01-25,Wrong Item,40.48
541,1994,2024-02-05,Wrong Item,35.64
542,4969,2024-03-01,Wrong Item,22.43
543,2469,2024-01-17,Late Delivery,39.85
544,960,2024-05-15,Refund Issue,17.08
545,2877,2024-10-02,Payment Failed,16.29
546,396,2024-06-18,Payment Failed,13.02
547,2264,2024-08-13,Refund Issue,54.23
548,1908,2024-10-11,App Crash,3.25
549,3337,2024-12-31,App Crash,14.2
550,4533,2024-08-02,Wrong Item,6.27
551,1410,2024-08-18,Payment Failed,38.36
552,279,2024-02-26,Payment Failed,62.41
553,687,2024-03-15,Wrong Item,57.79
554,2060,2024-07-16,Late Delivery,14.26
555,3191,2024-06-16,Late Delivery,28.93
556,2175,2024-09-01,Refund Issue,36.0
557,771,2024-12-21,Payment Failed,47.71
558,4079,2024-03-22,Late Delivery,18.76
559,1803,2024-10-08,Late Delivery,36.98
560,3476,2024-02-04,Payment Failed,70.46
561,3840,2024-10-10,App Crash,69.95
562,4464,2024-03-14,Wrong Item,40.6
563,2554,2025-01-29,Late Delivery,38.92
564,2693,2024-10-27,Late Delivery,38.88
565,120,2024-03-01,Refund Issue,54.33
566,422,2024-03-26,App Crash,60.05
567,3084,2024-09-08,Late Delivery,63.13
568,3198,2025-01-23,Late Delivery,27.97
569,4605,2024-10-14,Payment Failed,36.9
570,3508,2024-11-15,App Crash,42.12
571,3729,2024-11-24,Late Delivery,56.92
572,4935,2024-09-30,App Crash,28.5
573,1881,2024-09-17,App Crash,3.36
574,2378,2024-07-06,Wrong Item,12.14
575,2789,2024-11-28,Refund Issue,24.62
576,3312,2024-03-25,Payment Failed,53.34
577,431,2024-05-12,Payment Failed,44.42
578,3330,2024-10-22,Wrong Item,11.23
579,2200,2024-12-10,Payment Failed,29.87
580,229,2024-10-25,Refund Issue,52.22
581,2900,2024-02-02,Refund Issue,26.62
582,3582,2024-11-15,Late Delivery,29.05
583,4870,2024-07-26,Payment Failed,20.38
584,892,2024-01-14,Payment Failed,19.63
585,1664,2024-11-22,Payment Failed,51.32
586,2176,2024-09-28,Refund Issue,24.73
587,3773,2024-05-29,Payment Failed,38.53
588,932,2024-02-21,Wrong Item,68.07
589,2841,2025-01-03,App Crash,28.93
590,4569,2024-12-22,Late Delivery,43.41
591,2137,2024-06-27,Payment Failed,64.48
592,873,2024-12-12,Late Delivery,20.09
593,4028,2024-10-13,Wrong Item,42.76
594,3668,2024-06-20,App Crash,9.46
595,3345,2024-07-07,Wrong Item,41.48
596,2360,2024-04-08,App Crash,60.46
597,2958,2024-08-26,Late Delivery,58.5
598,1958,2024-12-31,App Crash,16.57
599,3740,2024-04-26,Payment Failed,23.81
600,4410,2024-02-01,Late Delivery,37.71
601,2050,2024-12-27,Refund Issue,9.9
602,3977,2024-05-22,Refund Issue,27.46
603,2698,2024-04-19,App Crash,49.43
604,3129,2024-08-21,Refund Issue,19.29
605,1179,2024-08-01,Refund Issue,6.04
606,1921,2024-04-14,Wrong Item,19.28
607,2521,2024-03-04,App Crash,69.19
608,595,2024-09-28,Late Delivery,11.12
609,960,2024-06-13,Late Delivery,37.83
610,876,2024-07-07,Payment Failed,65.93
611,308,2024-10-16,Payment Failed,55.01
612,2009,2024-07-25,Payment Failed,57.7
613,3094,2024-09-09,Refund Issue,27.31
614,133,2024-01-12,Late Delivery,66.03
615,4625,2024-09-09,Wrong Item,18.86
616,4511,2024-03-04,Wrong Item,42.18
617,184,2024-08-10,Wrong Item,37.74
618,4655,2025-01-19,App Crash,40.68
619,4214,2024-11-14,App Crash,54.57
620,4225,2024-05-10,Wrong Item,18.27
621,2642,2024-05-10,Late Delivery,9.48
622,3631,2024-10-07,Wrong Item,13.61
623,2711,2024-12-29,Late Delivery,43.52
624,303,2024-02-18,App Crash,26.36
