user_id,activity_date,app_opens,time_spent_minutes,pages_viewed,coupon_applied
4810,2024-02-12,5,45,11,No
217,2024-08-15,5,3,24,No
1300,2024-01-12,8,56,10,No
949,2025-01-09,7,32,17,No
1286,2024-10-02,3,58,15,No
464,2024-09-14,4,14,2,No
1898,2024-11-16,8,6,9,No
2790,2024-10-27,9,55,12,No
769,2024-05-28,2,24,5,No
1639,2024-12-04,6,41,21,Yes
4178,2024-09-17,4,2,15,No
1097,2024-01-16,3,8,17,Yes
3182,2024-02-06,1,20,1,Yes
2648,2024-10-06,1,38,7,Yes
883,2024-07-23,4,17,6,Yes
1589,2024-05-13,8,2,3,Yes
4546,2024-06-04,7,27,10,No
701,2024-09-30,5,13,22,No
3164,2024-03-11,5,3,6,Yes
625,2024-03-23,7,23,12,Yes
3201,2025-01-23,5,21,8,Yes
3589,2024-03-02,9,35,11,No
3344,2024-08-19,6,1,22,No
4682,2024-07-01,5,5,13,Yes
737,2024-09-24,2,19,23,Yes
828,2024-09-19,2,11,14,Yes
2168,2025-01-12,2,14,4,Yes
3221,2024-04-29,5,59,21,Yes
1753,2024-10-19,7,6,22,No
4143,2024-08-13,7,44,4,Yes
3928,2024-09-16,3,46,7,No
330,2024-07-10,1,45,5,No
4233,2024-08-12,4,56,20,No
3675,2024-01-06,7,43,5,No
1748,2024-10-03,6,39,17,Yes
4610,2024-03-29,3,30,18,No
1236,2024-02-01,1,14,18,No
2958,2024-01-14,5,20,1,No
5,2024-05-12,1,38,18,No
2827,2024-10-03,1,44,2,No
1455,2024-01-24,6,47,8,No
4895,2024-08-02,2,56,3,No
229,2024-08-30,7,51,16,No
3507,2024-06-12,6,36,24,No
2615,2024-08-30,8,17,22,Yes
558,2024-12-07,4,7,23,No
932,2024-02-17,1,11,10,No
304,2024-04-02,8,53,3,No
706,2024-04-06,2,51,24,No
3331,2024-07-13,6,8,1,No
4428,2024-10-15,2,12,23,Yes
3050,2024-02-13,4,26,3,No
2066,2024-06-02,9,45,14,Yes
2830,2024-10-31,9,13,11,Yes
3461,2024-07-25,8,15,23,No
2580,2024-02-16,3,53,3,Yes
2910,2025-01-26,6,11,8,No
4797,2024-11-27,9,35,18,Yes
894,2024-12-08,8,1,24,Yes
697,2024-02-13,2,39,3,Yes
2188,2024-03-21,1,9,21,Yes
4923,2024-09-18,8,12,24,No
1964,2024-09-12,6,51,18,No
4626,2024-12-11,2,40,5,Yes
729,2024-10-29,5,20,23,No
784,2024-05-18,9,27,3,Yes
1958,2024-03-25,9,46,14,No
2469,2024-11-03,8,8,14,Yes
192,2024-12-09,8,6,3,No
4376,2024-08-04,1,18,10,No
155,2024-10-13,7,14,9,Yes
2943,2024-09-15,7,38,10,No
4147,2024-03-18,7,26,11,No
3513,2024-08-25,5,19,7,Yes
2446,2025-01-06,9,21,16,Yes
2855,2025-01-20,4,22,12,Yes
2340,2024-07-19,8,58,2,No
90,2024-10-23,2,42,8,No
2400,2024-12-09,7,55,14,No
4041,2024-09-01,5,4,23,No
2467,2024-12-06,4,14,7,No
2299,2024-11-21,6,11,21,No
3169,2024-01-26,3,53,2,Yes
3105,2024-05-16,4,45,7,Yes
2549,2024-01-23,8,33,12,No
4877,2024-10-28,6,3,7,Yes
216,2024-06-30,8,28,21,No
727,2024-04-27,3,44,1,Yes
1870,2024-12-31,8,56,5,No
3585,2024-03-01,9,20,19,No
2190,2024-05-12,9,13,17,Yes
3839,2024-02-15,4,52,9,Yes
4707,2024-10-24,7,45,3,No
4006,2024-08-04,1,58,3,Yes
1736,2024-02-27,5,35,22,Yes
1693,2024-06-30,5,16,12,Yes
915,2024-08-06,4,12,14,Yes
1144,2024-01-23,6,42,19,Yes
4412,2024-09-10,7,29,13,Yes
3660,2024-10-09,7,45,10,No
1787,2024-11-24,3,3,5,Yes
506,2024-05-07,8,5,4,Yes
329,2024-03-31,5,37,4,Yes
1977,2024-09-06,3,11,7,No
4656,2024-05-25,4,29,23,Yes
2221,2024-12-11,3,52,17,No
1669,2024-12-19,2,15,22,No
3962,2024-10-10,1,18,6,No
4081,2024-10-12,7,13,12,Yes
3143,2024-04-24,3,2,1,Yes
653,2024-06-19,1,32,1,No
3845,2025-01-05,5,5,20,No
1846,2024-07-12,6,37,14,No
2903,2024-06-30,1,42,1,Yes
2592,2024-02-24,4,25,23,Yes
4680,2024-08-23,8,22,5,Yes
4756,2024-10-24,1,42,10,No
491,2024-12-03,8,46,3,No
716,2024-12-09,8,2,1,No
3628,2024-11-24,3,24,19,Yes
2256,2024-07-22,1,39,9,Yes
953,2024-04-03,1,35,4,Yes
2910,2024-05-29,6,2,5,No
892,2024-11-23,7,20,13,No
2951,2024-01-24,4,56,2,No
3490,2024-11-05,9,35,3,No
3481,2024-08-03,8,5,7,No
1975,2024-12-25,3,54,20,No
548,2024-11-23,2,31,1,No
4449,2024-05-24,9,34,15,No
901,2024-11-08,3,12,16,No
1954,2024-07-11,4,10,13,Yes
1328,2024-07-15,2,20,24,No
544,2024-10-06,5,10,23,No
2761,2024-05-07,1,16,10,No
1614,2025-01-03,1,15,13,No
779,2024-05-15,5,26,13,Yes
1230,2024-11-09,3,42,19,Yes
1721,2024-08-07,7,24,10,No
564,2024-01-14,7,39,13,No
320,2024-05-16,9,30,6,No
3819,2024-08-19,2,31,3,No
1795,2024-09-18,5,44,24,No
3189,2024-06-08,1,8,2,No
3204,2024-03-18,3,6,8,No
672,2024-02-03,1,49,5,No
349,2024-08-15,7,21,4,No
3658,2024-01-06,7,10,2,No
3932,2024-03-19,8,47,18,Yes
4524,2024-10-14,3,4,18,Yes
2556,2024-06-22,4,40,16,No
279,2024-02-22,6,31,16,No
2214,2024-07-16,6,39,11,No
4848,2024-03-13,8,45,6,Yes
4349,2024-03-22,4,6,22,Yes
335,2024-07-01,8,45,1,No
841,2024-10-23,8,57,6,No
4324,2025-01-24,8,16,22,No
4430,2024-05-04,9,30,7,Yes
3469,2024-11-18,2,54,5,No
3114,2024-07-27,4,10,23,No
513,2024-05-20,2,54,5,No
1351,2024-10-04,2,51,11,No
4754,2024-10-06,3,12,17,No
2237,2024-03-05,5,6,21,Yes
3775,2024-01-01,8,49,3,No
2072,2024-09-14,9,19,22,Yes
463,2024-10-20,6,8,20,Yes
737,2024-04-23,8,7,20,No
3869,2024-05-16,5,50,11,Yes
2056,2024-09-30,1,51,18,Yes
4305,2024-07-23,9,9,14,Yes
2607,2024-09-29,1,42,22,Yes
3881,2024-12-22,3,46,23,Yes
1773,2024-09-13,1,32,12,Yes
640,2024-04-26,5,3,22,Yes
792,2024-11-10,8,57,20,Yes
3153,2024-01-22,5,44,15,No
2129,2024-08-11,1,19,12,No
2964,2024-03-11,1,30,11,Yes
4624,2024-05-12,6,24,5,Yes
2765,2024-07-21,9,57,5,No
4074,2024-09-02,7,29,19,Yes
1148,2024-03-18,3,44,3,No
745,2025-01-20,7,15,18,No
2511,2024-09-26,5,55,19,No
3220,2024-08-15,6,18,22,No
3570,2024-11-04,2,55,21,No
3301,2024-10-21,3,11,20,No
4198,2024-02-04,7,51,10,No
293,2024-08-05,8,20,2,No
1959,2024-01-12,1,42,24,No
3312,2024-11-15,7,57,19,Yes
2734,2024-02-02,2,43,13,No
4502,2024-02-15,9,6,3,Yes
3014,2024-06-02,8,9,20,Yes
4510,2024-02-07,5,22,11,Yes
3994,2024-04-19,7,53,14,No
4000,2024-02-27,8,38,21,Yes
926,2024-10-27,9,40,2,Yes
327,2025-01-22,5,53,6,No
4635,2025-01-06,4,57,23,No
2988,2024-05-07,5,53,12,Yes
172,2024-07-02,4,56,1,Yes
2755,2024-12-04,2,24,24,Yes
820,2025-01-21,9,37,6,No
376,2024-11-03,2,52,6,No
1972,2024-11-23,1,53,16,No
4949,2024-03-24,9,3,21,Yes
2165,2024-04-14,7,47,16,No
246,2024-12-31,9,54,17,No
2968,2024-07-27,4,47,8,No
1707,2024-02-25,7,2,24,No
3107,2024-04-29,8,59,22,No
3319,2024-04-19,8,25,7,Yes
3645,2024-08-31,5,18,10,No
3761,2025-01-03,7,11,16,Yes
1707,2024-07-27,6,22,2,Yes
2659,2024-01-01,1,55,16,No
3726,2024-06-23,9,20,4,No
4818,2024-04-05,6,33,16,No
1204,2024-05-07,5,22,5,Yes
644,2024-01-23,4,49,23,Yes
1132,2024-05-10,1,21,17,Yes
3926,2024-06-13,9,37,3,Yes
4635,2024-10-11,2,9,19,No
2242,2024-09-18,1,58,15,No
4041,2024-02-18,2,22,21,No
741,2024-07-24,8,58,8,Yes
2081,2024-06-19,7,10,7,Yes
161,2024-12-24,8,41,2,No
2977,2024-01-12,7,53,19,Yes
586,2024-03-25,2,40,17,Yes
3965,2024-07-03,3,32,20,No
4243,2024-05-22,8,20,17,No
3471,2025-01-19,2,23,8,Yes
3427,2024-06-03,1,19,4,Yes
646,2024-09-10,5,40,20,Yes
2133,2024-03-15,7,4,11,Yes
3424,2024-05-14,6,25,6,Yes
4003,2024-03-04,5,4,14,No
1976,2024-11-11,9,30,16,No
142,2024-02-19,1,54,15,No
4790,2024-08-07,1,32,10,Yes
2659,2024-06-11,6,49,6,No
1145,2024-11-28,1,42,8,No
316,2024-01-17,4,46,1,No
2034,2024-04-08,7,30,14,No
1689,2024-12-22,4,55,15,No
3258,2024-05-28,6,27,16,No
272,2024-05-20,4,11,21,Yes
1568,2024-01-15,3,41,6,Yes
1525,2024-10-17,4,30,4,No
4989,2024-08-01,3,43,7,No
4239,2024-07-24,9,3,18,Yes
4894,2024-02-02,6,21,14,No
1574,2024-08-28,7,44,16,No
3433,2025-01-21,8,42,2,Yes
3978,2025-01-14,1,30,22,Yes
2396,2024-09-04,3,39,12,Yes
526,2025-01-17,6,26,23,Yes
1177,2024-02-03,4,48,21,No
716,2025-01-30,6,21,22,Yes
4907,2024-09-21,5,22,9,Yes
2856,2024-03-05,4,24,17,No
3459,2024-12-24,9,3,24,Yes
1724,2024-05-12,6,6,15,Yes
4752,2024-10-31,1,35,16,No
4691,2024-10-02,2,50,9,Yes
2970,2024-10-20,6,20,9,Yes
1245,2025-01-20,4,24,2,Yes
3392,2024-10-06,7,33,10,Yes
1717,2024-11-18,1,57,5,Yes
377,2024-01-22,1,12,14,Yes
1169,2024-10-06,6,18,2,Yes
1395,2024-10-04,9,16,4,Yes
3920,2025-01-08,2,40,22,No
2650,2024-01-02,4,49,12,Yes
2845,2024-07-24,3,15,20,No
935,2024-08-24,6,37,14,No
106,2024-10-09,7,45,10,Yes
4056,2024-03-15,1,8,7,No
458,2024-02-19,3,16,13,No
4291,2024-05-19,3,20,23,No
1382,2024-02-10,6,22,4,No
1470,2024-08-14,5,11,6,Yes
2165,2024-05-18,3,12,5,No
2202,2024-07-30,2,4,9,Yes
3027,2024-09-21,9,31,24,No
3190,2024-02-23,1,12,5,No
46,2024-04-25,7,58,11,No
2880,2024-06-16,3,34,4,No
529,2024-11-14,5,31,2,Yes
28,2024-04-04,6,24,19,No
3463,2024-07-20,2,15,11,Yes
2985,2024-11-16,6,27,8,No
2845,2024-07-11,8,31,17,No
3591,2024-05-15,8,43,14,Yes
2169,2024-10-06,3,9,21,No
3583,2024-08-04,2,27,6,No
1882,2024-11-11,7,31,19,No
3668,2024-12-05,8,3,24,Yes
517,2024-10-02,5,32,22,No
2862,2024-11-12,5,7,12,No
1212,2024-05-07,9,39,18,Yes
1301,2024-12-23,6,1,7,No
4907,2024-10-24,6,10,13,No
4976,2024-07-21,1,43,13,No
2734,2024-12-22,3,49,15,No
1499,2024-11-12,1,44,19,Yes
176,2024-10-08,8,19,24,Yes
1097,2024-08-13,3,23,6,Yes
4,2024-06-08,1,58,24,Yes
2505,2024-09-16,5,37,6,Yes
4487,2024-07-14,5,54,3,No
1118,2024-10-17,5,8,4,Yes
2093,2024-06-08,4,57,2,No
4992,2024-12-18,6,17,12,No
278,2024-02-16,7,50,14,No
3431,2024-06-16,1,53,1,No
1784,2024-06-23,7,39,10,Yes
3196,2024-10-28,6,51,9,Yes
487,2024-05-13,6,29,22,Yes
950,2024-06-09,9,6,12,No
2158,2024-12-03,5,28,24,No
1861,2024-01-26,2,57,19,No
1452,2024-02-26,5,6,14,No
4696,2024-03-04,1,45,14,No
4781,2024-11-10,3,27,14,Yes
4798,2024-03-10,9,46,15,Yes
3317,2025-01-04,2,33,24,Yes
3501,2024-11-02,4,29,7,No
1518,2024-12-13,9,13,4,No
2069,2024-04-02,8,54,7,Yes
1142,2024-01-30,5,51,4,No
1750,2024-12-17,6,28,1,No
3556,2024-09-01,4,31,10,No
1342,2024-07-03,9,46,24,Yes
260,2024-05-06,7,22,10,No
2197,2024-12-22,6,49,19,No
845,2024-07-14,9,32,6,No
4572,2024-12-21,4,43,23,No
2044,2024-01-23,9,22,8,No
2440,2024-06-28,7,24,10,No
3188,2024-02-28,2,51,16,No
924,2024-02-06,5,36,1,Yes
3552,2024-08-30,9,42,14,No
3845,2024-02-10,5,4,4,Yes
98,2024-08-04,1,24,18,Yes
4370,2024-12-15,2,41,5,Yes
3126,2025-01-07,2,26,4,Yes
3966,2024-02-01,9,48,23,No
3850,2024-04-26,2,31,11,Yes
3529,2024-11-01,4,47,17,No
926,2024-10-02,5,31,10,No
1041,2025-01-20,8,1,18,No
1260,2025-01-29,5,36,16,No
2145,2024-10-11,3,12,5,No
2980,2024-07-21,3,22,13,Yes
4880,2024-04-16,7,15,11,No
1884,2024-08-03,3,37,12,No
235,2024-06-09,6,19,7,No
4167,2024-05-07,8,17,16,Yes
2969,2024-07-29,3,27,20,Yes
3426,2024-12-29,5,22,14,Yes
672,2024-11-27,3,33,13,No
1601,2024-03-05,6,8,3,No
1932,2024-02-21,8,3,11,Yes
3020,2024-09-20,1,54,20,Yes
1314,2024-10-23,2,16,4,No
1093,2024-05-13,1,50,24,Yes
1145,2024-06-16,7,50,5,Yes
4950,2024-07-09,4,32,7,Yes
2476,2024-11-02,8,52,6,Yes
4349,2024-01-29,7,58,11,Yes
1917,2024-07-13,9,3,19,Yes
1218,2024-09-05,4,42,3,No
4351,2024-01-04,3,36,19,Yes
593,2024-01-26,8,40,5,No
2176,2024-01-13,9,56,21,Yes
473,2024-10-31,1,5,21,No
1606,2024-12-01,7,55,16,No
4200,2024-11-29,1,40,16,Yes
4044,2024-10-20,8,58,14,Yes
2438,2024-06-03,2,33,22,No
2266,2024-03-10,4,22,18,No
2126,2024-06-01,5,15,16,Yes
1054,2024-09-28,9,33,2,No
1859,2024-10-24,7,4,16,No
2286,2024-05-08,4,34,15,Yes
4421,2024-04-01,8,44,21,Yes
2315,2024-01-25,7,57,3,Yes
3041,2024-05-30,1,17,1,Yes
772,2024-07-11,5,36,11,Yes
1693,2024-07-11,3,5,4,Yes
1229,2024-12-15,2,17,8,Yes
3757,2024-05-20,1,49,4,Yes
2203,2025-01-14,6,30,19,Yes
120,2024-10-12,5,56,7,No
3229,2024-11-10,3,34,7,No
1666,2024-08-10,9,56,15,Yes
4775,2024-08-08,9,15,3,Yes
3376,2024-09-11,1,33,18,No
241,2024-07-29,1,19,14,No
2243,2024-01-26,8,36,11,Yes
2353,2024-06-16,6,34,10,No
2172,2024-08-11,4,32,18,No
4496,2024-05-14,1,20,2,Yes
1592,2024-03-23,7,17,9,No
3150,2024-01-08,3,49,9,No
4121,2024-06-08,8,7,5,Yes
1896,2024-06-10,6,43,19,No
4251,2024-08-04,8,41,6,No
40,2024-07-05,8,14,20,Yes
3615,2024-09-07,3,58,21,Yes
418,2025-01-22,4,9,4,Yes
2714,2024-08-14,3,16,17,Yes
4850,2024-06-23,7,44,16,No
524,2024-10-02,7,37,1,Yes
3292,2024-01-15,2,22,1,No
902,2024-10-19,2,48,22,No
1857,2024-08-18,4,15,9,No
4607,2024-06-06,2,55,15,No
1464,2025-01-28,4,26,17,No
2792,2024-06-12,4,14,6,Yes
300,2024-04-23,8,23,20,Yes
4243,2024-04-08,8,57,1,No
54,2024-09-16,6,40,18,Yes
135,2024-11-07,1,26,21,No
3263,2024-01-15,8,29,7,Yes
3559,2024-08-05,4,54,20,Yes
1347,2024-03-07,8,54,18,Yes
4955,2024-05-04,7,31,16,Yes
4341,2024-07-08,2,41,10,Yes
2226,2024-05-12,8,27,14,No
3930,2024-07-26,4,40,1,No
3135,2024-07-14,8,7,10,Yes
2726,2024-03-07,7,41,9,No
1567,2024-11-20,3,47,3,Yes
1424,2024-04-04,7,42,19,Yes
1933,2025-01-29,8,39,4,Yes
1225,2024-08-02,5,9,12,No
248,2024-06-21,2,3,1,No
4963,2024-12-24,6,29,21,Yes
4346,2024-05-28,6,19,3,Yes
1066,2024-01-28,2,16,15,No
4005,2024-02-25,3,11,2,No
3752,2024-07-22,8,45,20,No
3758,2024-11-19,1,56,23,Yes
117,2024-06-20,3,46,10,No
3159,2024-11-05,5,50,5,No
294,2024-11-07,1,47,15,No
3371,2024-06-26,8,21,12,No
1876,2024-04-27,4,7,12,No
452,2024-01-28,1,30,21,No
1446,2024-01-05,2,28,11,No
360,2024-12-21,8,4,8,No
3249,2024-12-11,8,26,7,No
4733,2024-08-05,3,51,15,No
4929,2024-03-23,7,3,4,Yes
1558,2024-04-05,1,41,16,Yes
519,2024-03-01,2,16,7,Yes
4081,2024-03-30,7,54,11,Yes
2583,2024-03-18,3,2,12,No
3533,2024-05-30,1,32,11,No
2001,2024-04-02,1,59,15,No
4198,2025-01-25,2,47,17,No
765,2024-08-19,9,44,18,Yes
2295,2024-08-07,4,25,18,No
1235,2024-09-01,5,45,16,No
2040,2024-12-21,9,59,4,No
56,2024-12-02,2,34,23,No
1844,2024-08-30,6,2,15,No
1329,2024-06-08,8,11,19,No
4613,2024-07-24,7,27,9,No
3461,2024-03-09,2,10,14,Yes
298,2025-01-26,5,43,13,No
4795,2024-06-10,4,1,7,No
4735,2024-11-09,3,53,10,Yes
1410,2024-02-04,7,57,8,No
1499,2024-07-18,9,28,8,Yes
4725,2024-01-15,1,43,4,Yes
4368,2024-02-23,7,11,23,No
4590,2024-02-10,7,57,9,No
380,2024-03-31,1,17,16,Yes
2931,2024-05-23,5,44,6,Yes
3614,2024-12-29,2,5,17,Yes
2513,2024-02-21,5,43,9,No
2677,2024-02-17,4,14,4,No
3168,2024-07-09,9,20,10,Yes
293,2024-09-14,4,58,11,No
174,2024-05-08,8,27,10,No
3880,2024-09-30,9,30,18,Yes
1889,2024-09-21,5,40,23,Yes
2193,2024-11-23,5,11,13,Yes
1392,2024-07-17,8,35,12,No
4686,2024-01-31,2,36,11,No
2528,2024-01-04,5,4,4,No
4705,2025-01-24,8,32,17,Yes
1302,2024-10-01,8,54,7,Yes
3123,2024-01-08,8,18,21,No
276,2024-02-25,5,53,7,Yes
2138,2024-08-30,7,43,16,Yes
4458,2024-10-28,3,12,15,Yes
4506,2024-09-21,6,4,19,No
90,2024-07-21,6,59,19,No
178,2024-09-03,2,22,17,No
1605,2024-12-30,4,17,16,No
2958,2024-09-10,7,31,5,No
247,2024-10-13,9,4,11,No
3877,2024-03-06,6,30,22,Yes
4827,2024-04-10,3,33,21,Yes
2426,2024-02-10,2,2,9,No
815,2024-03-29,7,7,8,No
549,2024-10-22,1,59,23,No
3100,2024-10-31,3,6,4,Yes
4190,2024-07-02,8,15,21,No
1097,2024-08-15,2,43,7,Yes
126,2024-01-07,5,33,2,Yes
1252,2024-05-19,6,28,5,No
1117,2024-08-16,5,52,9,No
801,2024-03-10,5,43,17,No
2189,2025-01-02,3,41,15,No
1517,2024-07-28,1,40,4,No
2599,2024-05-14,2,38,11,No
970,2024-03-25,4,51,7,Yes
858,2024-11-22,2,33,10,No
1499,2024-08-05,5,35,1,Yes
1943,2024-02-08,8,27,13,No
62,2024-03-16,4,49,11,Yes
3573,2025-01-08,6,10,16,No
4718,2024-02-26,2,24,3,Yes
4640,2024-03-25,1,23,7,No
1369,2024-01-28,5,29,23,No
4647,2024-04-14,4,24,24,No
2910,2024-09-27,5,16,6,No
2911,2024-05-08,5,43,14,Yes
4563,2024-04-27,5,46,11,No
2417,2025-01-11,2,47,14,No
325,2025-01-23,9,10,24,No
4564,2024-09-02,3,4,17,No
3212,2024-06-24,2,15,14,Yes
3008,2024-04-26,6,7,9,Yes
1628,2024-08-08,6,54,5,Yes
4784,2024-06-26,5,19,3,No
658,2024-12-22,2,33,2,No
1830,2024-10-28,7,3,10,Yes
3337,2025-01-08,4,17,24,Yes
2057,2024-07-16,6,7,12,No
4216,2025-01-20,2,57,1,No
912,2024-09-29,3,37,21,No
2724,2024-01-25,8,53,15,Yes
2702,2024-08-24,9,52,16,No
293,2024-10-10,4,38,5,Yes
1978,2024-06-28,7,35,2,No
4084,2024-11-21,4,3,19,No
1103,2024-03-27,2,54,4,Yes
3451,2024-07-07,5,21,13,No
1245,2024-05-15,1,27,21,Yes
1642,2024-09-20,4,31,24,Yes
3945,2024-03-30,1,16,19,Yes
847,2024-06-07,1,29,10,Yes
890,2024-03-06,8,13,12,No
3349,2024-03-04,1,57,7,No
3273,2024-12-09,7,35,18,No
1014,2024-10-12,5,3,1,No
2963,2024-12-21,6,39,13,No
2855,2025-01-19,9,57,18,No
1498,2024-04-29,9,37,21,Yes
2530,2024-09-14,2,2,15,Yes
2829,2024-06-15,5,44,8,No
4483,2024-05-09,8,42,22,No
3574,2024-07-04,8,58,17,Yes
4273,2025-01-20,9,22,4,No
1456,2024-05-17,8,25,20,Yes
2855,2024-01-25,5,31,1,Yes
4928,2024-01-17,9,9,14,No
1979,2024-12-12,4,54,8,Yes
2546,2024-08-07,8,33,17,No
40,2024-05-10,8,10,23,No
4785,2024-06-05,1,55,13,No
900,2024-11-30,4,5,2,Yes
4956,2024-07-07,5,56,23,Yes
3532,2024-05-26,7,48,10,No
2864,2024-11-29,7,20,24,No
3246,2024-08-27,6,23,24,No
4990,2024-06-22,9,15,4,No
1441,2025-01-13,2,2,22,Yes
3706,2024-03-15,7,26,11,No
1633,2024-04-10,8,16,21,No
2712,2024-02-09,1,24,18,Yes
601,2024-02-27,1,1,15,Yes
4868,2024-03-12,4,14,9,No
3963,2024-04-09,5,21,4,No
2655,2024-03-19,7,55,22,No
3926,2024-12-31,5,47,19,Yes
1069,2024-08-17,1,5,24,No
1649,2024-05-26,4,8,6,No
990,2025-01-29,8,26,23,No
1920,2024-10-02,8,12,19,Yes
3612,2024-11-10,8,26,11,Yes
4051,2025-01-26,2,52,23,Yes
1559,2025-01-12,2,20,14,No
2160,2025-01-09,9,50,17,Yes
2213,2024-09-08,4,8,22,Yes
190,2024-12-15,6,16,22,No
3967,2024-11-13,3,6,3,Yes
3138,2025-01-10,3,46,2,Yes
4978,2024-02-13,3,56,14,Yes
2516,2024-08-18,3,5,12,Yes
276,2024-08-12,6,45,2,Yes
2219,2025-01-31,3,25,1,No
2141,2024-07-22,1,38,18,No
2095,2025-01-26,8,48,19,No
341,2024-04-15,7,27,6,Yes
4467,2024-05-04,1,21,16,No
1661,2024-12-06,9,33,12,No
489,2024-05-30,3,4,19,Yes
966,2024-11-26,8,41,7,No
4448,2024-11-24,4,35,7,No
4728,2024-12-13,4,26,15,Yes
2016,2025-01-15,2,9,2,No
4623,2024-03-26,6,50,11,Yes
3930,2024-09-07,5,51,15,No
3525,2024-03-27,2,56,24,No
2637,2024-01-16,2,16,13,No
1884,2024-04-08,8,9,15,No
1202,2024-10-11,9,42,9,Yes
2583,2024-10-02,3,29,20,No
2515,2024-07-13,7,2,7,No
128,2024-12-16,6,36,6,Yes
2764,2024-03-27,4,35,24,No
2524,2024-02-07,3,29,3,Yes
1918,2024-08-31,1,8,16,Yes
2295,2024-06-30,4,7,23,No
1879,2024-12-31,1,16,20,No
2258,2024-01-07,3,36,14,No
1877,2024-12-01,5,54,12,No
1110,2024-10-04,9,20,7,No
2226,2024-02-01,8,47,18,Yes
376,2024-02-04,9,56,16,Yes
158,2024-11-06,8,30,4,Yes
4723,2024-07-17,4,9,1,Yes
4438,2024-05-06,9,8,17,No
663,2024-01-22,8,41,20,Yes
4318,2024-05-10,8,52,18,Yes
4981,2024-06-17,6,18,1,No
1457,2024-12-31,5,1,3,No
3603,2024-11-21,8,50,9,Yes
4824,2024-04-09,2,27,13,No
3417,2024-01-17,7,33,7,Yes
3726,2024-07-16,9,18,19,No
417,2024-11-07,7,33,7,No
4393,2024-04-27,2,27,12,No
2001,2024-06-15,9,31,17,No
3965,2025-01-03,8,16,3,Yes
3034,2024-10-06,4,56,14,No
4252,2024-09-14,9,44,9,No
4658,2024-03-15,5,56,24,Yes
4200,2024-05-16,8,12,1,Yes
4870,2024-11-15,1,53,1,No
1909,2024-04-27,3,37,9,No
2773,2024-06-18,4,9,11,Yes
644,2024-04-27,8,55,21,No
4233,2024-06-05,5,38,3,No
1967,2024-01-07,4,55,23,No
2521,2024-01-19,5,23,3,No
1290,2024-12-24,8,11,8,No
3335,2024-11-20,8,11,4,Yes
3074,2025-01-14,2,4,22,Yes
2417,2024-02-23,2,52,4,No
1181,2024-09-20,7,30,23,No
1126,2024-02-05,9,33,17,No
3743,2025-01-01,1,56,6,No
1757,2024-07-21,4,12,22,Yes
2078,2024-08-13,6,37,7,No
1936,2024-08-30,6,19,17,No
476,2024-09-15,8,55,8,No
119,2024-05-26,7,54,5,No
1922,2024-09-20,8,35,3,No
2822,2024-02-04,8,4,11,Yes
406,2024-08-05,8,40,19,No
4817,2024-06-25,9,41,2,No
3309,2024-03-29,5,32,22,No
4830,2024-05-22,6,55,18,No
1600,2024-05-10,2,20,3,No
2796,2024-05-10,6,1,16,No
2988,2024-12-09,4,18,24,No
1513,2024-07-03,4,5,11,No
4280,2024-05-13,4,9,16,No
893,2024-05-14,8,10,2,No
1292,2024-08-06,1,17,1,Yes
3380,2024-01-28,9,7,6,Yes
