lead_id,customer_id,campaign_id,lead_date,lead_status
206,166,19,2023-04-30,Qualified
207,192,8,2023-10-29,New
208,38,10,2024-05-05,Qualified
209,50,20,2024-02-04,Qualified
210,98,15,2024-03-27,Lost
211,82,15,2024-05-14,Qualified
212,30,1,2023-06-14,Lost
213,79,20,2023-07-01,New
214,91,7,2024-04-13,Lost
215,179,4,2024-02-02,New
216,191,6,2023-08-11,Lost
217,52,1,2023-11-07,Converted
218,166,5,2024-03-07,Converted
219,79,1,2024-04-10,Qualified
220,30,4,2023-01-07,Lost
221,106,2,2023-11-26,Lost
222,51,10,2023-09-20,New
223,81,5,2023-06-10,Qualified
224,133,10,2023-05-31,Lost
225,29,1,2023-03-26,Qualified
226,132,6,2023-05-27,Converted
227,138,13,2023-04-22,Lost
228,184,15,2024-01-16,Lost
229,145,4,2024-02-07,Qualified
230,74,13,2023-02-05,Lost
231,17,20,2023-10-12,Qualified
232,84,15,2023-07-07,Lost
233,69,8,2023-03-23,New
234,34,5,2023-01-02,Qualified
235,6,15,2024-01-20,Lost
236,53,4,2023-10-30,Converted
237,194,12,2023-07-16,Lost
238,126,13,2024-02-08,Converted
239,43,2,2023-01-11,Converted
240,115,19,2023-08-22,New
241,111,19,2024-01-21,Qualified
242,151,4,2023-07-14,Lost
243,183,4,2024-04-15,New
244,80,11,2023-04-29,Lost
245,95,5,2024-01-31,Converted
246,118,20,2023-01-20,Qualified
247,144,11,2023-09-18,Lost
248,8,10,2023-10-20,Lost
249,132,8,2024-02-26,Converted
250,104,6,2023-09-13,Lost
